iter	Passed	Remaining
0	101	101327
1	160	80269
2	196	65368
3	233	58069
4	266	53096
5	302	50045
6	334	47426
7	371	46069
8	407	44885
9	440	43621
10	477	42935
11	509	41933
12	542	41155
13	579	40812
14	618	40632
15	656	40370
16	697	40306
17	735	40132
18	776	40075
19	815	39936
20	848	39574
21	887	39454
22	923	39210
23	958	38995
24	996	38879
25	1035	38801
26	1069	38531
27	1104	38334
28	1140	38179
29	1173	37946
30	1207	37737
31	1239	37497
32	1274	37349
33	1309	37217
34	1344	37057
35	1383	37037
36	1416	36855
37	1449	36702
38	1484	36591
39	1520	36500
40	1558	36442
41	1595	36385
42	1631	36320
43	1667	36224
44	1702	36130
45	1737	36041
46	1773	35969
47	1813	35962
48	1850	35913
49	1888	35884
50	1925	35824
51	1960	35735
52	1993	35621
53	2028	35538
54	2063	35458
55	2098	35381
56	2136	35347
57	2170	35255
58	2205	35170
59	2240	35108
60	2278	35071
61	2315	35035
62	2352	34992
63	2385	34882
64	2421	34836
65	2458	34789
66	2497	34778
67	2536	34763
68	2575	34748
69	2613	34717
70	2646	34624
71	2683	34587
72	2722	34576
73	2760	34541
74	2797	34506
75	2838	34507
76	2875	34466
77	2914	34450
78	2951	34414
79	2993	34424
80	3033	34419
81	3070	34373
82	3108	34337
83	3146	34310
84	3186	34301
85	3223	34263
86	3262	34233
87	3300	34201
88	3335	34144
89	3373	34107
90	3410	34071
91	3447	34027
92	3483	33970
93	3520	33932
94	3565	33966
95	3605	33952
96	3642	33908
97	3675	33825
98	3713	33797
99	3752	33768
100	3792	33754
101	3832	33737
102	3871	33712
103	3908	33670
104	3943	33611
105	3978	33557
106	4015	33514
107	4053	33481
108	4089	33430
109	4128	33402
110	4167	33374
111	4231	33553
112	4305	33794
113	4344	33762
114	4384	33739
115	4419	33679
116	4456	33636
117	4497	33619
118	4534	33569
119	4570	33519
120	4608	33476
121	4644	33425
122	4680	33372
123	4717	33326
124	4756	33292
125	4793	33250
126	4831	33213
127	4867	33161
128	4904	33117
129	4942	33073
130	4978	33027
131	5018	33002
132	5057	32968
133	5095	32932
134	5132	32888
135	5171	32852
136	5206	32799
137	5245	32764
138	5299	32826
139	5339	32799
140	5374	32740
141	5410	32690
142	5445	32632
143	5481	32586
144	5515	32520
145	5552	32479
146	5590	32438
147	5625	32384
148	5657	32313
149	5697	32284
150	5733	32237
151	5772	32203
152	5808	32155
153	5845	32111
154	5884	32079
155	5921	32036
156	5959	32000
157	5996	31956
158	6033	31914
159	6070	31870
160	6106	31819
161	6143	31778
162	6176	31715
163	6211	31662
164	6246	31609
165	6284	31571
166	6320	31528
167	6358	31491
168	6399	31466
169	6442	31453
170	6481	31422
171	6517	31376
172	6554	31333
173	6589	31281
174	6627	31243
175	6665	31204
176	6703	31171
177	6739	31121
178	6776	31082
179	6814	31044
180	6852	31005
181	6889	30965
182	6926	30923
183	6962	30876
184	6999	30834
185	7035	30791
186	7072	30747
187	7109	30706
188	7145	30660
189	7184	30627
190	7221	30587
191	7259	30551
192	7296	30508
193	7332	30465
194	7369	30421
195	7406	30380
196	7445	30348
197	7481	30305
198	7520	30271
199	7558	30235
200	7595	30192
201	7631	30146
202	7667	30103
203	7705	30067
204	7743	30029
205	7779	29985
206	7813	29931
207	7848	29886
208	7885	29842
209	7920	29797
210	7955	29748
211	7994	29714
212	8028	29664
213	8065	29621
214	8100	29576
215	8138	29540
216	8175	29497
217	8214	29466
218	8251	29426
219	8287	29381
220	8325	29345
221	8362	29306
222	8399	29265
223	8435	29223
224	8469	29171
225	8508	29138
226	8543	29094
227	8581	29057
228	8619	29020
229	8657	28982
230	8693	28941
231	8734	28914
232	8771	28875
233	8808	28833
234	8845	28795
235	8882	28755
236	8919	28716
237	8954	28669
238	8990	28625
239	9027	28586
240	9063	28543
241	9101	28507
242	9138	28468
243	9176	28430
244	9215	28399
245	9257	28373
246	9294	28334
247	9328	28286
248	9365	28246
249	9401	28205
250	9437	28161
251	9474	28123
252	9512	28087
253	9548	28045
254	9585	28005
255	9624	27969
256	9661	27930
257	9698	27892
258	9737	27858
259	9773	27817
260	9810	27776
261	9847	27737
262	9883	27697
263	9922	27661
264	9957	27617
265	9993	27576
266	10028	27532
267	10065	27492
268	10101	27451
269	10137	27408
270	10173	27366
271	10209	27325
272	10246	27287
273	10285	27251
274	10320	27208
275	10359	27174
276	10399	27143
277	10438	27109
278	10473	27067
279	10511	27029
280	10548	26989
281	10583	26947
282	10621	26909
283	10659	26874
284	10696	26835
285	10733	26795
286	10768	26751
287	10804	26711
288	10840	26670
289	10877	26631
290	10915	26595
291	10954	26561
292	10990	26519
293	11027	26480
294	11065	26443
295	11099	26399
296	11135	26358
297	11174	26324
298	11209	26281
299	11249	26248
300	11283	26202
301	11318	26160
302	11354	26118
303	11406	26114
304	11442	26072
305	11475	26025
306	11513	25990
307	11553	25957
308	11588	25914
309	11626	25878
310	11662	25838
311	11700	25800
312	11734	25755
313	11770	25715
314	11807	25676
315	11844	25637
316	11881	25600
317	11919	25562
318	11954	25519
319	11991	25481
320	12028	25444
321	12066	25407
322	12103	25368
323	12141	25332
324	12177	25291
325	12213	25250
326	12250	25212
327	12287	25173
328	12324	25136
329	12376	25127
330	12415	25093
331	12458	25066
332	12495	25028
333	12533	24991
334	12570	24953
335	12608	24916
336	12648	24884
337	12685	24845
338	12724	24811
339	12763	24775
340	12799	24736
341	12837	24698
342	12875	24662
343	12912	24624
344	12950	24588
345	12986	24547
346	13023	24507
347	13059	24468
348	13098	24432
349	13139	24401
350	13178	24367
351	13218	24333
352	13258	24300
353	13296	24264
354	13334	24226
355	13373	24191
356	13411	24155
357	13450	24121
358	13487	24081
359	13525	24044
360	13561	24004
361	13600	23969
362	13639	23934
363	13677	23897
364	13715	23861
365	13753	23824
366	13790	23785
367	13826	23745
368	13863	23706
369	13903	23673
370	13942	23638
371	13979	23599
372	14017	23562
373	14054	23524
374	14092	23487
375	14131	23452
376	14169	23415
377	14213	23388
378	14256	23359
379	14290	23315
380	14327	23276
381	14365	23240
382	14401	23199
383	14439	23162
384	14477	23126
385	14515	23089
386	14553	23051
387	14589	23012
388	14626	22973
389	14663	22934
390	14700	22897
391	14742	22865
392	14786	22837
393	14862	22859
394	14911	22839
395	14956	22812
396	14996	22778
397	15036	22743
398	15082	22717
399	15126	22689
400	15170	22661
401	15213	22631
402	15259	22604
403	15303	22575
404	15345	22545
405	15386	22511
406	15426	22476
407	15470	22446
408	15511	22413
409	15557	22387
410	15606	22364
411	15647	22332
412	15684	22293
413	15722	22254
414	15758	22213
415	15795	22173
416	15830	22132
417	15866	22091
418	15902	22051
419	15938	22010
420	15975	21971
421	16014	21934
422	16050	21894
423	16090	21858
424	16128	21821
425	16166	21783
426	16206	21747
427	16244	21709
428	16279	21668
429	16317	21630
430	16356	21593
431	16393	21554
432	16430	21514
433	16467	21475
434	16503	21435
435	16539	21394
436	16574	21353
437	16611	21314
438	16649	21276
439	16688	21239
440	16726	21202
441	16764	21164
442	16801	21124
443	16839	21087
444	16885	21058
445	16955	21060
446	17003	21036
447	17048	21006
448	17091	20974
449	17137	20946
450	17177	20909
451	17215	20872
452	17252	20832
453	17293	20797
454	17335	20765
455	17385	20740
456	17429	20709
457	17469	20673
458	17509	20638
459	17547	20599
460	17586	20562
461	17625	20525
462	17664	20487
463	17700	20447
464	17738	20408
